,region_name,country_code,province_name,city_name,region_city_rank,url,about_title,about_content
10,CARIBBEAN,DR,LA ALTAGRACIA,PUNTA CANA,1,https://www.tripadvisor.com/Tourism-g147293-Punta_Cana_La_Altagracia_Province_Dominican_Republic-Vacations.html,Picture-perfect beaches and pampering all-inclusives are only part of Punta Cana’s allure,"Punta Cana is pure escape, and its pleasures come in many forms. Days here start on postcard-worthy Macao Beach and might end inside of a cave nightclub. And when you’re not soaking up the sun or dancing the night away, all-day indulgence is the name of the game at Punta Cana’s impeccable all-inclusive resorts, from the electrified Hard Rock Punta Cana to the serene Le Sivory Punta Cana. When you’ve had your fill of sun and sand, try one of the region’s zip-line courses, sail to Isla Saona, explore Dominican history at Altos de Chavon, and visit the magical lagoons of the Indigenous Eyes Ecological Park."
11,CARIBBEAN,BF,BAHAMAS,NASSAU,2,https://www.tripadvisor.com/Tourism-g147416-Nassau_New_Providence_Island_Bahamas-Vacations.html,About Nassau,"Nassau teems with Bahamian and British flavor. The capital city of the Bahamas boasts miles of spectacular beaches and stretches of vivid coral reefs perfect for snorkeling. Shop, dine, and sightsee, particularly along busy Bay Street, or if you're a James Bond fan, visit the British Colonial Hotel, which was used as a filming location for two of the Sean Connery-era movies. Visit during the famed Junkanoo Festival to experience a high-energy parade of spectacularly costumed dancers. "
12,CARIBBEAN,JM,SAINT JAMES,MONTEGO BAY,3,https://www.tripadvisor.com/Tourism-g147311-Montego_Bay_Saint_James_Parish_Jamaica-Vacations.html,About Montego Bay,"While this Jamaican spring break favorite is great for party animals, it can also be surprisingly low key – if you want. Montego Bay has excellent duty-free shopping, vibrant nightlife, and calm waters. Browse the local handicrafts at the open-air Harbour Street market, or the ""hip strip"" shops of Gloucester Avenue. The underwater crevices of Widowmaker’s Cave offer an intricate diving experience. Float serenely down the Martha Brae River on a bamboo raft and let your troubles melt away under the sun."
13,CARIBBEAN,AA,,PALM BEACH,4,https://www.tripadvisor.com/Tourism-g147249-Palm_Eagle_Beach_Aruba-Vacations.html,About Palm - Eagle Beach,"Inhabited since the year 1000, Aruba is an island rich in history and culture. Eagle Beach is an idyllic Caribbean beach, with white sands and turquoise waters, and is frequented by water sports enthusiasts. Palm Beach, on the island's west side, offers perfect swimming conditions and powdery sand. Those more concerned with conditions under the waves won't want to miss the wreck of the torpedoed tanker Pedernales, a popular diving site. Aruba is only 20 miles long, thus easily explored by bike or moped. "
14,CARIBBEAN,JM,,HANOVER,5,https://www.tripadvisor.com/Tourism-g1448458-Hanover_Parish_Jamaica-Vacations.html,,
15,CARIBBEAN,BB,,BARBADOS,6,https://www.tripadvisor.com/Tourism-g147262-Barbados-Vacations.html,About Barbados,"Romance and adventure are in the air on this lush West Indian island in the Caribbean, depending on your coast. To the west, you'll find calm waters and good swimming. To the east, there are massive, competition-caliber waves. Wherever you stay, expect turquoise waters, fine soft sand beaches, catamaran cruises and delicious island fare."
16,CARIBBEAN,ST,,SAINT LUCIA,7,https://www.tripadvisor.com/Tourism-g147342-St_Lucia-Vacations.html,"Welcome to St. Lucia, where volcanos, rainforests, and black-sand beaches are the norm","St. Lucia suits travelers seeking a relaxing beach vacation with active pursuits, plus charming island culture. For hikers, there’s the lush rainforest, Pidgeon Island National Park, and Tet Paul Nature Trail. La Soufrière, set against the majestic volcanic Pitons, is known for its Sulphur Springs and mud baths, beautiful Diamond Botanical Gardens, and the romantic, private black-sand beach of Anse Mamin. Get a taste of local cuisine at a bevy of restaurants serving up everything from green figs and salt fish to cassava bread. And be sure to catch an afternoon cricket game plus the popular Gros Islet Fish Fry on Friday nights."
17,CARIBBEAN,CJ,,GRAND CAYMAN,8,https://www.tripadvisor.com/Tourism-g147365-Grand_Cayman_Cayman_Islands-Vacations.html,Crystal blue waters lined with starfish and stingrays—Grand Cayman is a postcard come to life,"The largest of the Cayman Islands, Grand Cayman is all about down-shifting into vacation mode. Seven Mile Beach and other sandy spots provide ample opportunities for sunbathing, while Stingray City (actually a sandbar) lets you bob along next to undulating stingrays. Starfish, turtles, and stalactite-filled caves are other natural attractions on hand. Those looking to hit the town can head to George Town for shopping and bars or the deliciously named Rum Point."
18,CARIBBEAN,DR,PUERTO PLATA,PUERTO PLATA,9,https://www.tripadvisor.com/Tourism-g147290-Puerto_Plata_Puerto_Plata_Province_Dominican_Republic-Vacations.html,About Puerto Plata,"Well-priced, all-inclusive beach resorts are the norm around Puerto Plata. Take a cable car to the peak of Mount Isabel de Torres, enjoy a concert at an amphitheater facing the Atlantic Ocean, visit the 16th-century San Felipe Fortress. Explore the nearby falls of Damajagua, snorkel off the beautiful island of Cayo Arena or play a round of golf in spectacular surroundings. Then discover the neighboring towns of Cabarete, a kite-boarding hub, and Sosúa, a picturesque beach spot."
19,CARIBBEAN,TK,,PROVIDENCIALES,10,https://www.tripadvisor.com/Tourism-g147399-Providenciales_Turks_and_Caicos-Vacations.html,About Providenciales,"The most populated of the Turks and Caicos islands, Providenciales is one of the world’s top beach destinations. The diving and snorkeling is as convenient as it is stunning, thanks to miles of coral reef that’s easily accessible from the shore. The upscale resorts and captivating beachscapes of Grace Bay make it a popular choice for waterfront escapes. The cliffs and crags of Chalk Sound make a lovely backdrop for kayaking the bright turquoise waters. "
20,SOUTH EAST ASIA,RP,METRO MANILA,MANILA,1,https://www.tripadvisor.com/Tourism-g298573-Manila_Metro_Manila_Luzon-Vacations.html,About Manila,"Metropolitan Manila encompasses six cities and 12 towns. Located on Manila Bay in the South China Sea, and bisected by the Pasig River, the capital of the Philippines is historic and modern, rich and poor. A popular sight is the walled area called Intramuros. The capital during Spanish colonization, Intramuros has retained old dungeons and gunpowder rooms but added art galleries and theaters. The city is filled with museums, shops, parks and churches, plus enough nightlife to last until dawn. "
21,SOUTH EAST ASIA,TH,KRUNG THEP MAHANAKHON,BANGKOK,2,https://www.tripadvisor.com/Tourism-g293916-Bangkok-Vacations.html,"Revved up at all hours, Bangkok remains one of the most intense places on Earth","There are cities and then there is Bangkok. Temples like Wat Pho are thronged with devotees all day. Street food sizzles all evening. The heat never stops. And the nightlife—from sleazy Patpong to ritzy rooftop bars—is second to none. But the pleasures don’t end there. Night markets, mega malls, and the massive Chatuchak Weekend Market all make Bangkok a shoppers’ (and souvenir-hunter’s) dream. You’ll need to prepare yourself—Bangkok is intense. But for travelers craving local secrets and 24/7 energy, there’s nowhere in the world quite like it."
22,SOUTH EAST ASIA,SN,,SINGAPORE,3,https://www.tripadvisor.com/Tourism-g294265-Singapore-Vacations.html,"Small in size, the ‘Lion City’ offers big delights",This tiny island city-state is a study of fusions and contrasts bursting with wonders waiting to be explored. Tranquil parks abut futuristic skyscrapers and luxe shopping malls. A thriving street food scene and world-class restaurants offer countless ways to taste and sip your way through Singapore’s culinary melting pot. Your first trip to Singapore will prove that sometimes the best things come in small packages.
23,SOUTH EAST ASIA,MY,WILAYAH PERSEKUTUAN KUALA LUMPUR,KUALA LUMPUR,4,https://www.tripadvisor.com/Tourism-g298570-Kuala_Lumpur_Wilayah_Persekutuan-Vacations.html,The colorful cultural hub of Malaysia,"Wandering the streets of Kuala Lumpur can mean dipping in and out of an urban present into an ancient past. The city is visually defined by the iconic Petronas Twin Towers, which, at 88 stories high, are the tallest twin buildings in the world and a vision of modern architecture. On the flip side, the Sri Mahamariamman is the oldest Hindu temple in Malaysia, its facade a colorful totem pole of iconography. Shopping also switches from gleaming mega-malls to local markets where haggling and handicrafts go hand-in-hand."
24,SOUTH EAST ASIA,TH,PHUKET,PHUKET,5,https://www.tripadvisor.com/Tourism-g293920-Phuket-Vacations.html,"Stunning beaches, nonstop nightlife, and culture for days","Tropical beaches, hidden temples, local markets, and a thumping club scene. Phuket draws those who mellow in the sun and thrive at night. Further inland, Phuket Town’s eateries allow you to dip into chili and blue ginger-spiced dishes, and a stroll through the old quarter opens a window into the layers of its past. Despite its size and geography, there’s plenty of dining, accommodations, and adventure to satisfy luxury travelers and budget-conscious trip takers all year long."
25,SOUTH EAST ASIA,TW,T'AI-PEI CHUEN-SHIH,TAIPEI,6,https://www.tripadvisor.com/Tourism-g293913-Taipei-Vacations.html,A city where gleaming modernity and ancient culture meet,"The bustling metropolis of Taipei is where you’ll find shiny skyscrapers and ancient temples hazy with incense standing side by side. Spend your day taking in the view from up above at the Taipei 101 before shopping your way down the streets of Ximending (with a bubble tea in hand, of course). As night falls, eat your way across the numerous night markets. From the XXL fried chicken cutlets to the stinky tofu, the street food here is addictive and will leave you hankering for more."
26,SOUTH EAST ASIA,HK,HONG KONG SAR,HONG KONG,7,https://www.tripadvisor.com/Tourism-g294217-Hong_Kong-Vacations.html,A vibrant harbor city with an unbeatable food scene,"Delectable dim sum, floating islands, and a one-of-a-kind skyline are just some of Hong Kong’s enchanting features. Eat your way across Temple Street Night Market with its fish balls and stinky tofu, or settle in for dim sum at Michelin-starred venues like Tim Ho Wan. For traditional Chinese architecture, head to Ngong Ping Village, then take the tram to the tippity-top of Victoria Peak for skyscraper views. The gentle hills of Nan Lian Garden will deliver serenity, but a detour through the city’s cocktail bars will bring back Hong Kong’s urban buzz."
27,SOUTH EAST ASIA,VM,HO CHI MINH,HO CHI MINH CITY,8,https://www.tripadvisor.com/Tourism-g293925-Ho_Chi_Minh_City-Vacations.html,The Pearl of the Far East; a dynamic city that dazzles and delights,"As Vietnam’s largest economic center and cultural capital, Ho Chi Minh City boasts soaring skyscrapers that tower over charming French colonial structures and traditional pagodas from Saigon’s yesteryear. Past the bustling streets and dizzying traffic, uncover the delicious street food, booming nightlife and historical landmarks that give this city its distinct appeal. Visit The War Remnants Museum for a glimpse into the Vietnam War, wander down Bui Vien Street for cheap beer or cruise through the Mekong Delta for sprawling views of paddy fields and houseboats."
28,SOUTH EAST ASIA,RP,AKLAN,BORACAY,9,https://www.tripadvisor.com/Tourism-g294260-Boracay_Malay_Aklan_Province_Panay_Island_Visayas-Vacations.html,About Boracay,Boracay Island has reopened with new rules and regulations in place to protect the island from overdevelopment. Not all businesses were allowed to reopen. Please check with the Philippine Department of Tourism for details: http://www.tourism.gov.ph/
29,SOUTH EAST ASIA,TH,CHIANG MAI,CHIANG MAI,10,https://www.tripadvisor.com/Tourism-g293917-Chiang_Mai-Vacations.html,"Thailand's ""Rose of the North""","You could spend your whole vacation just exploring Chiang Mai's famous city center, where the remains of ancient walls encircle over 30 temples. Energetic travelers can climb 300 stairs to Wat Phrathat Doi Suthep, an ornate Buddhist temple in the hills. But don’t just explore historical sights—witness Thailand’s vibrant present at the Night Bazaar where you can master the art of haggling. The Botanic Garden is also a great place to soak up some local culture and to breathe in the delicate fragrance of Thai orchids. "
30,WESTERN EUROPE,FR,PARIS,PARIS,1,https://www.tripadvisor.com/Tourism-g187147-Paris_Ile_de_France-Vacations.html,About Paris,"Paris has a reputation for being the ultimate romantic getaway. But what visitors really swoon over is the city itself. Those grand stone and wrought-iron buildings, the sidewalks brimming with cozy cafés, and the Seine’s curving riverbanks are downright cinematic. But the city’s charms go beyond looks. The culinary scene creates an endless list of must-eat French dishes—rich and hearty coq au vin, golden buttery croissants. It’s also worth trying modern fusion and inventive international food here. (Trust us, the city’s falafel is outstanding.) And the spirit of Paris invites ducking down side streets, lingering in museums, and exploring mazes of shops. At the end of the day, head to the Champ-de-Mars to get uninterrupted views of the Eiffel Tower as it glitters into the night."
31,WESTERN EUROPE,NL,NOORD-HOLLAND,AMSTERDAM,2,https://www.tripadvisor.com/Tourism-g188590-Amsterdam_North_Holland_Province-Vacations.html,"Overloaded with adorable canals and bridges, Amsterdam brings the charm","From its picturesque canals and bridges to its historic homes, Amsterdam is a full-blown fairytale. The brightly-colored bicycles and tulip stands around town don’t hurt either. Must-see sights include the Anne Frank House, the Van Gogh Museum, and the world's only floating flower market. Rent a bike and join thousands of locals peddling around. Other visitors might want to linger in the local coffee shops, which is just a normal part of the city's landscape."
32,WESTERN EUROPE,BE,BRUXELLES,BRUSSELS,3,https://www.tripadvisor.com/Tourism-g188644-Brussels-Vacations.html,About Brussels,"Unassuming Brussels is the capital of Belgium, Flanders and Europe. Medieval Grand-Place, is indeed grand, with many 17th-century buildings and daily flower markets. Reopened in 2006, the Atomium, Brussels' Eiffel Tower, provides great views, inside and out. Architecture fans should visit Musee Horta, home of Belgian master architect Victor Horta. St. Gery's clubs and bars are packed year-round. Seafood eateries abound in Ste. Catherine. Walk, rather than get snarled up in traffic, in the narrow streets."
33,WESTERN EUROPE,GM,BERLIN,BERLIN,4,https://www.tripadvisor.com/Tourism-g187323-Berlin-Vacations.html,A cosmopolitan city with an edge,"From its fashion to its architecture to its political history, Berlin has always been edgy. The Berlin Wall is a sobering reminder of the hyper-charged postwar atmosphere, and yet the graffiti art that now covers its remnants has become symbolic of social progress. Check out the Weltzeituhr (world time) Clock, topped by a model of the solar system, then turn back time by dining at the historic Zur Letzten Instanz, a 16th century restaurant that was frequented by Napoleon and Beethoven."
34,WESTERN EUROPE,AU,WIEN,VIENNA,5,https://www.tripadvisor.com/Tourism-g190454-Vienna-Vacations.html,"A city full of the finer things in life, from palaces to pastries","In Vienna, the coffee house isn’t just a hangout—it’s an institution. According to UNESCO, lingering over a newspaper with a pastry and a strong espresso drink is officially a cornerstone of Viennese culture. Walk off your slice of Sachertorte with a self-guided tour of the city’s stunning traditional, Secessionist, and modern architecture, such as the Imperial Palace, the State Opera House, the Kirche am Steinhof, or the Kunsthistorisches Museum, an exercise in ornate geometry."
35,WESTERN EUROPE,DA,KOBENHAVN,COPENHAGEN,6,https://www.tripadvisor.com/Tourism-g189541-Copenhagen_Zealand-Vacations.html,About Copenhagen,"Copenhagen was once a Viking fishing settlement, and you can still find traces of the Norse explorers here. Visit reconstructed villages, the remains of a 1,000-year-old castle, and museums dedicated to the notorious raiders. Copenhagen also features a blend of modern architecture and historical artifacts such as the Round Tower observatory – a wonderful example of 17th-century architecture. Art galleries, narrow streets, canals, parks, and Baroque churches round out the city’s cultural attractions."
36,WESTERN EUROPE,GM,BAYERN,MUNICH,7,https://www.tripadvisor.com/Tourism-g187309-Munich_Upper_Bavaria_Bavaria-Vacations.html,A city made for clinking beer steins as you soak in Bavarian charm,"Munich exudes Bavarian enchantment. Beer fanatics should head immediately to the Hofbräuhaus, a hops heaven that’s been churning out the good stuff since 1589. The drinking is downright legendary during Oktoberfest, a celebration of local beers and German specialty foods. Emulate world-class athletes at the Olympiapark, where skating on the Olympic ice rink will make you feel like a champion. The promenade of Marienplatz is perfect for people watching and gawking at the Glockenspiele of City Hall."
37,WESTERN EUROPE,FR,ALPES-MARITIMES,NICE,8,https://www.tripadvisor.com/Tourism-g187234-Nice_French_Riviera_Cote_d_Azur_Provence_Alpes_Cote_d_Azur-Vacations.html,"The cultural capital of the French Riviera, set on the Baie des Anges","The deep blue waters of the Cote d’Azur are the dramatic backdrop for elegant Nice. Breathe in the fresh Mediterranean air as you stroll the famous Promenade des Anglais, be charmed by the quaint streets of Old Town, or get a panoramic view of the whole city from atop Castle Hill. Indulge in classic Provençal dishes and wines in one of the city’s intimate cafes or bustling brasseries. And don’t pass up the chance to experience the French Riviera’s glitz and glamor by taking day trips to Saint Tropez and Monaco or by joining a group to go clubbing til dawn."
38,WESTERN EUROPE,BE,WEST-VLAANDEREN,BRUGES,9,https://www.tripadvisor.com/Tourism-g188671-Bruges_West_Flanders_Province-Vacations.html,About Bruges,"What could be more romantic and inspiring than a place that looks like a backdrop for a fairy tale? The medieval overtones of Bruges’ cobblestone streets lead to countless historical, architectural and artistic wonders. Marvel at ornate houses lining intricate canals, and understand why this is a favorite destination for all types of travelers. The whole city emanates an appreciation of the past, a love of the present, and enthusiasm for the future. Don’t miss Hof Bladelin, Groeninge Museum, Church of Our Lady, and Belfry and Market Halls."
39,WESTERN EUROPE,SZ,ZURICH,ZURICH,10,https://www.tripadvisor.com/Tourism-g188113-Zurich-Vacations.html,"A ritzy Alpine metropolis that overdelivers on culture, nightlife, and art","The largest city in Switzerland, Zurich is a major contemporary art and shopping destination. Important artworks are displayed in the Kunsthaus and the Rietberg Museum, while those who consider shopping an art can hone their skills along Bahnhofstrasse and Niederdorf. Chagall's stained glass windows in the Fraumunster amaze, and Zurich's 500 clubs and bars—including several in swimming pools—pulse with life 'til the early hours. This city on Lake Zurich has excellent public transit and a free bike rental system."
40,UNITED STATES,US,NEVADA,LAS VEGAS,1,https://www.tripadvisor.com/Tourism-g45963-Las_Vegas_Nevada-Vacations.html,About Las Vegas,"Whatever you can dream up, Las Vegas delivers: Michelin-starred restaurants, 24-hour wedding chapels, larger-than-life scenery, slot machines, all of it. But just when you think you have Vegas pinned down, it surprises you. Consider Meow Wolf, an immersive experience that’s equal parts theme park and art gallery. Or the ice rink at the Cosmopolitan (winter in the desert!). Head out past the Strip, and you’ll find state parks and scenery for days in spots like Valley of Fire and Red Rocks Canyon. It’s gems like these that round out Vegas as a destination for families and non-partiers, too."
41,UNITED STATES,US,NEW YORK,NEW YORK,2,https://www.tripadvisor.com/Tourism-g60763-New_York_City_New_York-Vacations.html,"Come for the big dreams and dazzling lights, stay for the local haunts and the world’s best pizza","The tallest buildings, biggest museums, and best pizza—NYC is a city of superlatives, and it lives up to every one of them. From the dazzling spectacle of Broadway to MoMA’s world-class galleries, the boutiques of SoHo, and the array of restaurants offering cuisines from every corner of the world, there’s a different New York to discover every time you visit. Beyond those iconic landmarks, though, New York’s secret side awaits. You’re likely to stumble upon indie vintage shops and locals-only brunch spots even on the shortest of strolls. And when the crowds and noise are too much to take, just look up—that skyline will remind you why you came in the first place."
42,UNITED STATES,US,FLORIDA,ORLANDO,3,https://www.tripadvisor.com/Tourism-g34515-Orlando_Florida-Vacations.html,Ready to live your Disney dream? Orlando is the place. But the family fun and fantasies don’t stop there,"Orlando is a city that’s powered by dreams. It all starts at Disney’s Magic Kingdom, but there’s plenty more abracadabra elsewhere, too. The young and the young-at-heart can whip up spells at Universal Studios’ The Wizarding World of Harry Potter or live out their safari fantasies at Disney’s Animal Kingdom—and that’s just for starters. Once you’ve had your fill of thrills, there’s amazing live music at venues like B.B. King’s House of Blues and a local foodie scene that only keeps growing. If you need a break from the excitement, step into tranquil spots like Harry P. Leu Gardens for a much-needed quiet moment."
43,UNITED STATES,US,FLORIDA,MIAMI BEACH,4,https://www.tripadvisor.com/Tourism-g34439-Miami_Beach_Florida-Vacations.html,"Sand, sun, shopping, and chic retreats—Miami Beach is ready for its close-up","Miami Beach has long been a playground for those seeking sunny days and wild nights. However, there’s more to Miami than sparkling beaches, shimmering pools, and nightlife that never stops. These days, eco-chic hotels like 1 Hotel Miami Beach rub elbows with hipster haunts like The Broken Shaker and the trendy boutiques of Mid-Beach. But if it’s classic Miami Beach you’re after, have no fear. You’ll still find it while strolling through the Art Deco District, throwing back cocktails at The Clevelander, enjoying drag shows at The Palace, or tucking into Latin American eats along Española Way."
44,UNITED STATES,US,ILLINOIS,CHICAGO,5,https://www.tripadvisor.com/Tourism-g35805-Chicago_Illinois-Vacations.html,About Chicago,"It may be known as Second City, but Chicago rivals any of the world’s great destinations from NYC to London to Hong Kong. Yes, Chi-town has everything: stunning architecture and museums, forward-thinking chefs, laugh-your-heart-out comedy clubs, a thriving craft brew scene, and so much more. With 77 neighborhoods across the city, it’s impossible to see it all but we recommend you start with the show-stoppers in and around the Loop and Gold Coast (Cloud Gate, the Museum of Contemporary, an architecture tour along the Chicago River, to name a few). Then move beyond the city center to explore smaller neighborhoods like Old Town, home to the famous Second City comedy club, and Wicker Park, where you’ll find artsy boutiques and killer coffee shops."
45,UNITED STATES,US,DISTRICT OF COLUMBIA,WASHINGTON,6,https://www.tripadvisor.com/Tourism-g28970-Washington_DC_District_of_Columbia-Vacations.html,A monumental city jammed with American history at every turn,"From the National Mall’s monuments and memorials to vibrant neighborhoods filled with character and charm, DC is a world-class destination. It's a stellar family trip, loaded with free things to do, but couples on romanic getaways and solo explorers will also find themselves captivated. Experience outstanding performing arts at acclaimed theaters, shop in historic Georgetown, hear great live music at legendary venues, enjoy sporting entertainment from six professional franchises, and dine your way across the city's Michelin-starred restaurants."
46,UNITED STATES,US,FLORIDA,MIAMI,7,https://www.tripadvisor.com/Tourism-g34438-Miami_Florida-Vacations.html,About Miami,"Miami is hot hot hot! And it’s not just the sultry weather. Here, the nightlife is scorching, thanks to a strong Latin influence and spicy salsa culture. Dance the noche away in a nightclub, or indulge in a fancy meal at one of the city’s celebrity-owned restaurants. By day, hit the beach of course, or have yourself a walkabout, taking in Miami’s colorful art deco architecture. Grab a Cuban sandwich in Little Havana, then ride the vintage carousel at Virginia Key Beach Park."
47,UNITED STATES,US,FLORIDA,FORT LAUDERDALE,8,https://www.tripadvisor.com/Tourism-g34227-Fort_Lauderdale_Broward_County_Florida-Vacations.html,The Venice of America,"Brimming with charming boating canals, Fort Lauderdale has rightly earned the nickname of “The Venice of America”. Its beaches offer 23 miles of golden sand, lively with the spirited antics of happy vacationers. Sail the blue-green waters on a chartered catamaran, or dive beneath the surface to meet-and-greet the local sea life. Shopping and dining al fresco on Las Olas Boulevard is one of Fort Lauderdale’s greatest pleasures, thanks to adorable shops and prime people-watching."
48,UNITED STATES,US,TEXAS,HOUSTON,9,https://www.tripadvisor.com/Tourism-g56003-Houston_Texas-Vacations.html,A cultural and culinary heavyweight in The Lone Star state,"Houston hums with an energy and independent spirit all its own. A leading cultural and culinary destination in the South, the city is home to over 11,000 restaurants featuring cuisines from more than 70 countries. The thriving arts scene includes resident opera, ballet, symphony and theater companies. The Museum District houses 19 museums, all within walking distance. Be sure to visit Space Center Houston, where you can see NASA’s Historic Mission Control at the Johnson Space Center."
