region_name,country_code,province_name,city_name,region_city_rank,,,
CENTRAL/SOUTH AMERICA,MX,QUINTANA ROO,CANCUN,1,,,
CENTRAL/SOUTH AMERICA,MX,QUINTANA ROO,RIVIERA MAYA,2,,,
CENTRAL/SOUTH AMERICA,MX,JALISCO,PUERTO VALLARTA,3,,,
CENTRAL/SOUTH AMERICA,MX,BAJA CALIFORNIA SUR,CABO SAN LUCAS,4,,,
CENTRAL/SOUTH AMERICA,MX,QUINTANA ROO,PLAYA DEL CARMEN,5,,,
CENTRAL/SOUTH AMERICA,MX,QUINTANA ROO,ISLA MUJERES,6,,,
CENTRAL/SOUTH AMERICA,MX,QUINTANA ROO,TULUM,7,,,
CENTRAL/SOUTH AMERICA,MX,QUINTANA ROO,PUERTO MORELOS,8,,,
CENTRAL/SOUTH AMERICA,MX,,LOS CABOS,9,,,
CENTRAL/SOUTH AMERICA,CS,,GUANACASTE,10,,,
CANADA,CA,ONTARIO,TORONTO,1,,,
CANADA,CA,ONTARIO,NIAGARA FALLS,2,,,
CANADA,CA,QUEBEC,MONTREAL,3,,,
CANADA,CA,BRITISH COLUMBIA,VANCOUVER,4,,,
CANADA,CA,QUEBEC,QUEBEC CITY,5,,,
CANADA,CA,ALBERTA,CALGARY,6,,,
CANADA,CA,ALBERTA,EDMONTON,7,,,
CANADA,CA,ONTARIO,MISSISSAUGA,8,,,
CANADA,CA,ONTARIO,OTTAWA,9,,,
CANADA,CA,MANITOBA,WINNIPEG,10,,,
AFRICA,SF,WESTERN CAPE,CAPE TOWN,1,,,
AFRICA,KE,NAIROBI AREA,NAIROBI,2,,,
AFRICA,SF,GAUTENG (PWV),JOHANNESBURG,3,,,
AFRICA,NI,,LAGOS,4,,,
AFRICA,SF,KWAZULU NATAL,DURBAN,5,,,
AFRICA,SF,GAUTENG (PWV),PRETORIA,6,,,
AFRICA,GH,GREATER ACCRA,ACCRA,7,,,
AFRICA,KE,COAST,MOMBASA,8,,,
AFRICA,ET,SHEWA,ADDIS ABABA,9,,,
AFRICA,WA,,WINDHOEK,10,,,
PACIFIC,AS,NEW SOUTH WALES,SYDNEY,1,,,
PACIFIC,AS,VICTORIA,MELBOURNE,2,,,
PACIFIC,NZ,AUCKLAND,AUCKLAND,3,,,
PACIFIC,AS,QUEENSLAND,BRISBANE,4,,,
PACIFIC,AS,WESTERN AUSTRALIA,PERTH,5,,,
PACIFIC,AS,QUEENSLAND,GOLD COAST,6,,,
PACIFIC,NZ,CANTERBURY,CHRISTCHURCH,7,,,
PACIFIC,NZ,OTAGO,QUEENSTOWN,8,,,
PACIFIC,NZ,WELLINGTON,WELLINGTON,9,,,
PACIFIC,AS,QUEENSLAND,SURFERS PARADISE,10,,,
"UK,SCOTLAND,IRELAND",UK,ENGLAND,LONDON,1,,,
"UK,SCOTLAND,IRELAND",EI,,DUBLIN,2,,,
"UK,SCOTLAND,IRELAND",UK,CITY OF EDINBURGH - SCOTLAND,EDINBURGH,3,,,
"UK,SCOTLAND,IRELAND",UK,CITY OF GLASGOW - SCOTLAND,GLASGOW,4,,,
"UK,SCOTLAND,IRELAND",UK,MERSEYSIDE - ENGLAND,LIVERPOOL,5,,,
"UK,SCOTLAND,IRELAND",UK,GREATER MANCHESTER - ENGLAND,MANCHESTER,6,,,
"UK,SCOTLAND,IRELAND",UK,WEST MIDLANDS - ENGLAND,BIRMINGHAM,7,,,
"UK,SCOTLAND,IRELAND",UK,LANCASHIRE - ENGLAND,BLACKPOOL,8,,,
"UK,SCOTLAND,IRELAND",UK,NORTH YORKSHIRE - ENGLAND,YORK,9,,,
"UK,SCOTLAND,IRELAND",UK,CORNWALL - ENGLAND,NEWQUAY,10,,,
INDIAN SUB-CONTINENT,IN,DELHI,NEW DELHI,1,,,
INDIAN SUB-CONTINENT,IN,KARNATAKA,BANGALORE,2,,,
INDIAN SUB-CONTINENT,IN,MAHARASHTRA,MUMBAI,3,,,
INDIAN SUB-CONTINENT,IN,TAMIL NADU,CHENNAI,4,,,
INDIAN SUB-CONTINENT,IN,ANDHRA PRADESH,HYDERABAD,5,,,
INDIAN SUB-CONTINENT,IN,RAJASTHAN,JAIPUR,6,,,
INDIAN SUB-CONTINENT,NP,MADHYAMANCHAL,KATHMANDU,7,,,
INDIAN SUB-CONTINENT,IN,WEST BENGAL,KOLKATA,8,,,
INDIAN SUB-CONTINENT,IN,UTTAR PRADESH,VARANASI,9,,,
INDIAN SUB-CONTINENT,IN,MAHARASHTRA,PUNE,10,,,
NORTHEAST ASIA,KR,SEOUL,SEOUL,1,,,
NORTHEAST ASIA,KR,SOUTH GYEONGSANG,BUSAN,2,,,
NORTHEAST ASIA,JP,KANTO,TOKYO,3,,,
NORTHEAST ASIA,JP,KANSAI,KYOTO,4,,,
NORTHEAST ASIA,JP,KANSAI,OSAKA,5,,,
